x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
301.198301,301.198301,0.705404752,zt,1,1,,,1.csv,T,ZT,0,,,,1.4,,
324.2854512,324.2854512,0.783733047,zt,1,1,,,1.csv,T,ZT,0,,,,1.4,,
374.648625,374.648625,0.848276272,zt,1,1,,,1.csv,T,ZT,0,,,,1.4,,
424.3159555,424.3159555,0.934086668,zt,1,1,,,1.csv,T,ZT,0,,,,1.4,,
473.2874426,473.2874426,0.961750314,zt,1,1,,,1.csv,T,ZT,0,,,,1.4,,
523.6713363,523.6713363,1.081622416,zt,1,1,,,1.csv,T,ZT,0,,,,1.4,,
574.0431434,574.0431434,0.956079702,zt,1,1,,,1.csv,T,ZT,0,,,,1.4,,
301.2293808,301.2293808,0.614609987,zt,2,2,,,2.csv,T,ZT,1,,,,1.4,,
324.316531,324.316531,0.643302204,zt,2,2,,,2.csv,T,ZT,1,,,,1.4,,
373.9907681,373.9907681,0.67238905,zt,2,2,,,2.csv,T,ZT,1,,,,1.4,,
424.3591219,424.3591219,0.670265344,zt,2,2,,,2.csv,T,ZT,1,,,,1.4,,
475.4302257,475.4302257,0.668132129,zt,2,2,,,2.csv,T,ZT,1,,,,1.4,,
525.0958295,525.0958295,0.614949146,zt,2,2,,,2.csv,T,ZT,1,,,,1.4,,
575.4590034,575.4590034,0.539056773,zt,2,2,,,2.csv,T,ZT,1,,,,1.4,,
301.9286775,301.9286775,0.520997349,zt,3,3,,,3.csv,T,ZT,2,,,,1.4,,
323.618961,323.618961,0.548271121,zt,3,3,,,3.csv,T,ZT,2,,,,1.4,,
374.6952448,374.6952448,0.591542421,zt,3,3,,,3.csv,T,ZT,2,,,,1.4,,
424.3694819,424.3694819,0.620615003,zt,3,3,,,3.csv,T,ZT,2,,,,1.4,,
474.043719,474.043719,0.622746633,zt,3,3,,,3.csv,T,ZT,2,,,,1.4,,
524.4068928,524.4068928,0.587989175,zt,3,3,,,3.csv,T,ZT,2,,,,1.4,,
574.7717933,574.7717933,0.506432531,zt,3,3,,,3.csv,T,ZT,2,,,,1.4,,
300.8840491,300.8840491,0.705385734,zt,4,4,,,4.csv,T,ZT,3,,,,1.4,,
323.9504794,323.9504794,0.742593378,zt,4,4,,,4.csv,T,ZT,3,,,,1.4,,
374.2808468,374.2808468,0.817060965,zt,4,4,,,4.csv,T,ZT,3,,,,1.4,,
423.9153707,423.9153707,0.890114862,zt,4,4,,,4.csv,T,ZT,3,,,,1.4,,
473.5464414,473.5464414,0.947561106,zt,4,4,,,4.csv,T,ZT,3,,,,1.4,,
523.8837153,523.8837153,0.983735424,zt,4,4,,,4.csv,T,ZT,3,,,,1.4,,
573.5165126,573.5165126,0.997214617,zt,4,4,,,4.csv,T,ZT,3,,,,1.4,,
300.1795725,300.1795725,0.55929537,zt,5,5,,,5.csv,T,ZT,4,,,,1.4,,
322.5449795,322.5449795,0.62769931,zt,5,5,,,5.csv,T,ZT,4,,,,1.4,,
373.5746434,373.5746434,0.64685703,zt,5,5,,,5.csv,T,ZT,4,,,,1.4,,
423.9050108,423.9050108,0.70430328,zt,5,5,,,5.csv,T,ZT,4,,,,1.4,,
473.5326281,473.5326281,0.78728154,zt,5,5,,,5.csv,T,ZT,4,,,,1.4,,
523.1654254,523.1654254,0.79792384,zt,5,5,,,5.csv,T,ZT,4,,,,1.4,,
573.5026993,573.5026993,0.80997983,zt,5,5,,,5.csv,T,ZT,4,,,,1.4,,
