label,two_theta_deg,intensity,d_angstrom,h,k,l
Sb2Te3 PDF#97-067-0037,8.637,4.7,10.2300,0,0,3
Sb2Te3 PDF#97-067-0037,17.323,3.7,5.1150,0,0,6
Sb2Te3 PDF#97-067-0037,24.516,0.1,3.6281,1,0,1
Sb2Te3 PDF#97-067-0037,25.032,0.4,3.5544,0,1,2
Sb2Te3 PDF#97-067-0037,26.111,2.0,3.4100,0,0,9
Sb2Te3 PDF#97-067-0037,27.007,1.7,3.2988,1,0,4
Sb2Te3 PDF#97-067-0037,28.405,100.0,3.1396,0,1,5
Sb2Te3 PDF#97-067-0037,31.857,1.4,2.8068,1,0,7
Sb2Te3 PDF#97-067-0037,33.853,5.4,2.6458,0,1,8
Sb2Te3 PDF#97-067-0037,35.058,0.4,2.5575,0,0,12
Sb2Te3 PDF#97-067-0037,38.269,34.3,2.3500,1,0,10
Sb2Te3 PDF#97-067-0037,40.654,3.8,2.2174,0,1,11
Sb2Te3 PDF#97-067-0037,42.834,34.4,2.1095,1,1,0
Sb2Te3 PDF#97-067-0037,43.781,0.5,2.0660,1,1,3
Sb2Te3 PDF#97-067-0037,44.233,4.8,2.0460,0,0,15
Sb2Te3 PDF#97-067-0037,45.719,6.8,1.9829,1,0,13
Sb2Te3 PDF#97-067-0037,46.531,1.6,1.9502,1,1,6
Sb2Te3 PDF#97-067-0037,48.382,1.3,1.8798,0,1,14
Sb2Te3 PDF#97-067-0037,49.971,0.5,1.8237,0,2,1
Sb2Te3 PDF#97-067-0037,50.253,0.1,1.8141,2,0,2
Sb2Te3 PDF#97-067-0037,50.856,1.8,1.7940,1,1,9
Sb2Te3 PDF#97-067-0037,51.371,0.3,1.7772,0,2,4
Sb2Te3 PDF#97-067-0037,52.198,17.2,1.7510,2,0,5
Sb2Te3 PDF#97-067-0037,53.717,2.7,1.7050,0,0,18
Sb2Te3 PDF#97-067-0037,53.945,2.6,1.6983,1,0,16
Sb2Te3 PDF#97-067-0037,54.360,0.3,1.6863,0,2,7
Sb2Te3 PDF#97-067-0037,55.681,1.2,1.6494,2,0,8
Sb2Te3 PDF#97-067-0037,56.503,0.5,1.6274,1,1,12
Sb2Te3 PDF#97-067-0037,56.840,0.1,1.6185,0,1,17
Sb2Te3 PDF#97-067-0037,58.772,9.2,1.5698,0,2,10
Sb2Te3 PDF#97-067-0037,60.529,1.1,1.5284,2,0,11
Sb2Te3 PDF#97-067-0037,62.853,0.4,1.4773,1,0,19
Sb2Te3 PDF#97-067-0037,63.267,9.3,1.4687,1,1,15
Sb2Te3 PDF#97-067-0037,63.617,0.6,1.4614,0,0,21
Sb2Te3 PDF#97-067-0037,64.437,2.3,1.4448,0,2,13
Sb2Te3 PDF#97-067-0037,65.975,2.1,1.4148,0,1,20
Sb2Te3 PDF#97-067-0037,66.579,0.5,1.4034,2,0,14
Sb2Te3 PDF#97-067-0037,67.883,0.5,1.3796,2,1,1
Sb2Te3 PDF#97-067-0037,68.117,0.1,1.3754,1,2,2
Sb2Te3 PDF#97-067-0037,69.047,0.2,1.3592,2,1,4
Sb2Te3 PDF#97-067-0037,69.741,13.6,1.3473,1,2,5
